,country,title,image_link,source,content,published_at,link
0,Korea,"예스티, SK하이닉스 HBM 장비 수주 소식에 급등",https://img.hankyung.com/photo/202411/AA.37822674.1.jpg,한국경제,강임수 예스티 대표. /사진=한경DB 예스티가 급등하고 있다. SK하이닉스에 고대역폭메모리(HBM)반도체 제조장비를 공급하기로 하는 계약을 맺었다고 공시한 덕이다.20일 오전 9시32분 현재 예{스티는 전일 대비 730원(8.59%) 오른 9230원에 거래되고 있다.개장 직후 SK하이닉스에 HBM용 반도체 제조장비(e-Furnace)를 내년 5월8일까지 공급하기로 하는 계약을 111억6000만원 규모로 맺었다고 공시한 영향으로 보인다.계약규모는 작년 예스티의 연간 매출액 대비 13.98% 수준이다.한경우 한경닷컴 기자 case@hankyung.com,2024.11.20 09:35,https://www.hankyung.com/article/2024112026896
1,Korea,KB금융·하나금융지주 강세…밸류업 지수 편입 유력,https://img.hankyung.com/photo/202411/01.38699987.1.jpg,한국경제,"사진=한경DB 밸류업 지수 편입이 유력한 KB금융과 하나금융지주가 20일 장중 강세다.20일 오전 9시29분 현재 KB금융은 전일 대비 2600원(2.84%) 상승한 9만4200원에 거래 중이다. 하나금융지주도 1.34% 강세다.그밖에 신한지주(2.98%)와 메리츠금융지주(1.55%) 등 다른 금융주도 동반 상승 중이다. 앞서 지난 18일 한국거래소는 내달 20일자로 '코리아 밸류업 지수'에 신규 종목을 편입하는 등 지수 구성종목 특별 변경(특별 리밸런싱)을 추진한다고 밝혔다.증권가에서는 지수에 편입될 유력 후보로 KB금융와 하나금융지주 등을 꼽아 왔다. 금융주에 대한 글로벌 운용사의 낙관도 국내 증시에 영향을 미친 것으로 풀이된다. 스테파니 알리아가 JP모건자산운용 분석가는 18일(현지시간) 블룸버그에 ""시장의 다양한 섹터에 훈풍이 풀고 있는 가운데, 특히 금융주에 대한 전망이 밝다""며 ""적어도 지난해보다는 좋아 보인다""고 짚었다.신민경 한경닷컴 기자 radio@hankyung.com",2024.11.20 09:40,https://www.hankyung.com/article/2024112025776
2,Korea,"CJ바이오사이언스, 바이오 사업 재편 기대에 이틀째 '上'",https://img.hankyung.com/photo/202411/01.38699786.1.jpg,한국경제,"사진=CJ바이오사이언스 CJ바이오사이언스 주가가 2거래일 연속 상한가를 기록하고 있다. CJ제일제당이 바이오 사업부를 매각한다는 소식 이후 CJ바이오사이언스 중심의 사업 재편이 이뤄질 수 있다는 기대가 반영된 것으로 풀이된다.20일 오전 9시34분 기준 CJ바이오사이언스는 전날 대비 가격제한폭(29.99%)까지 뛴 1만4780원을 기록 중이다. 전날에 이어 이틀째 상한가다.앞서 지난 18일 CJ바이오사이언스 모회사 CJ제일제당은 바이오 사업부 매각 주관사로 모건스탠리를 선정하고, 인수 후보 기업과 접촉하고 있다는 소식이 알려졌다. 이르면 다음달 본입찰을 실시할 예정으로, 몸값은 6조원을 웃돌 것이란 예상이 나온다.이번 매각은 그린바이오를 대상으로 추진되며, 친환경 소재를 개발하는 화이트바이오와 신약 기술 등을 개발하는 레드바이오는 제외된다.CJ바이오사이언스는 마이크로바이옴 면역 항암치료제를 연구한다. CJ제일제당이 2021년 인수해 지분 45.44%를 보유하고 있다. CJ그룹 바이오 사업이 CJ바이오사이언스가 담당하는 레드 바이오(질병 연구·신약 개발 분야) 위주로 재편될 것이란 기대가 나온다.고정삼 한경닷컴 기자 jsk@hankyung.com",2024.11.20 09:42,https://www.hankyung.com/article/2024112025896
3,Korea,"빗썸·NHN, 포커 대회 개최…1위 상금 '1억원 상당비트코인'",https://img.hankyung.com/photo/202411/B20241120093019653.jpg,한국경제,"빗썸과 NHN이 포커 대회 '빗썸 X 더블에이 포커 챔피언십'을 개최한다고 20일 밝혔다.이번 대회는 더블에이 포커 게임 내 새틀라이트 토너먼트와 오프라인 본선을 통해 순수한 포커 게임 실력을 겨루는 대회로, 총 3억1천만 원 상당의 상금이 제공된다.대회 진행은 우선 11월 25일부터 12월 4일까지 열흘간 온라인 토너먼트인 '새틀라이트(Satellite)' 경기가 진행된다.해당 기간 동안 참가자들은 매일 19시 30분과 22시, 500장의 본선 진출 참가권을 두고 치열한 경기를 펼치게 된다.빗썸은 생애 최초 빗썸 가입 회원에게 더블에이 포커 새틀라이트 토너먼트에 참여할 수 있는 참가권을 지원하며, 선착순 1천 명에게는 더블에이 포커 게임머니를 제공할 예정이다.단, 해당 혜택은 더블에이 포커를 통해 빗썸 가입 이벤트에 참여하는 경우 수령할 수 있다.본선과 결선 경기는 12월 7일과 8일 양일간 낮 12시부터 광명 아이벡스(IVEX) 스튜디오에서 진행한다.본선 진출자 500명 가운데, 7일 본선 경기의 상위 75명이 최종 결선에 진출하고 8일 결선에서 최종 우승자를 가리게 된다.우승자에게는 우승 트로피와 함께 상금으로 1억 원 상당의 비트코인이 수여된다.대회 마지막 날에는 결선 경기 뿐 아니라, 대회 참가자 및 관람객들이 참여할 수 있는 특별한 사이드 이벤트 ‘빗썸 X 더블에이 포커 프리롤’도 마련돼 있다.편하게 즐기는 포커 경기지만, 상품으로 빗썸포인트 등 총 1천만 원 상당의 푸짐한 상품을 받을 수 있는 친선 이벤트다.프리롤 이벤트는 선착순 200명까지 참여할 수 있으며, 그 외에도 대회장 곳곳에서 다양한 기념품과 쿠폰 지급 이벤트도 진행될 예정이다.빗썸 관계자는 ""이번 챔피언십 대회는 네이버 N골프와 공동 주최한 아마추어 골프대회, 탄소중립 사이클링 대회 그란페스타 후원, 롯데월드 제휴에 이은 빗썸의 네 번째 컬쳐 프로젝트""라며, ""많은 사람들이 문화와 가상자산을 매개로, 색다른 재미를 느끼고 풍성한 혜택을 받을 수 있도록 새로운 시도를 이어갈 것""이라고 말했다.박찬휘기자 pch8477@wowtv.co.kr",2024.11.20 10:30,https://www.hankyung.com/article/2024112029145
4,Korea,"코스피, 개인 매수에 상승…삼성전자·SK하이닉스 '희비교차'",https://img.hankyung.com/photo/202411/ZA.38692800.1.jpg,한국경제,"사진=연합뉴스 코스피가 개인 매수세에 상승하고 있다. 삼성전자는 하락하는 반면 SK하이닉스는 오르고 있다.20일 오전 10시54분 현재 코스피는 전일 대비 8.92포인트(0.36%) 오른 2480.87에 거래되고 있다.개인이 유가증권시장에서 787억원어치 주식을 사며 지수를 이끌고 있다. 반면 외국인과 기관은 각각 879억원어치와 106억원어치를 팔고 있다. 외국인은 코스피200 선물도 1350억원어치 순매도 중이다.시가총액 상위 종목은 대체로 상승하고 있지만, 시총 1위인 삼성전자는 1.78% 하락 중이다. 지난 14일 종가 기준으로 5만원선이 무너진 뒤 15일과 18일 강하게 상승한 데 따른 차익실현 매물이 나오는 것으로 보인다.삼성전자에서 빠져 나온 수급은 SK하이닉스로 향하는 모양새다. SK하이닉스는 1.29% 상승 중이다. 간밤 엔비디아가 실적 발표를 앞두고 5% 가깝게 상승한 점도 상승세에 힘을 보태고 있다.LG에너지솔루션, 삼성바이오로직스, 현대차도 각각 1%대 상승세를 보이고 있다.기아와 KB금융은 각각 3%대 강세다.코스닥은 전일 대비 1.89포인트(0.28%) 오른 688.01에 거래되고 있다. 이 시장에서는 개인이 1438억원어치 주식을 사는 반면, 외국인과 기관은 각각 953억원어치와 518억원어치를 팔고 있다.코스닥 시가총액 상위 종목들도 대체로 상승하고 있다. 알테오젠은 장 초반 대비 오름폭을 줄였지만 2%대 강세를 보이고 있다. 휴젤과 클래시스는 각각 2.74%와 4.11% 상승 중이다.에코프로비엠과 에코프로도 각각 1.25%와 3.06% 오르고 있다.반면 HLB는 0.85% 내리고 있다.서울외환시장에서 원·달러 환율은 전일 대비 0.8원(0.06%) 오른 달러당 1393.8원에 거래되고 있다.한경우 한경닷컴 기자 case@hankyung.com",2024.11.20 11:02,https://www.hankyung.com/article/2024112030356
5,Korea,"밸류업 펀드 투자 개시…거래소 ""3000억 추가 조성""",https://img.hankyung.com/photo/202411/01.38417338.1.jpg,한국경제,"사진=한국거래소 2000억원 규모로 조성된 '기업 밸류업 펀드'의 투자가 오는 21일부터 시작된다.한국거래소는 한국증권금융·한국예탁결제원·한국금융투자협회·코스콤 등 증권 유관기관 5곳과 밸류업 프로그램 지원을 위해 조성한 2000억원 규모의 밸류업 펀드가 오는 21일부터 투자를 개시한다고 20일 밝혔다.또 증권 유관기관은 해당 펀드를 연내 3000억원 규모로 추가 조성할 계획이다.거래소 관계자는 ""이번 펀드 추가 조성이 밸류업 관련 투자 문화 확산과 증시 활성화에 기여할 것으로 기대한다""며 ""거래소를 포함한 증권 유관기관은 밸류업 프로그램이 탄력을 얻을 수 있도록 앞으로도 다양한 방안을 마련해 지속 지원할 것""이라고 말했다.고정삼 한경닷컴 기자 jsk@hankyung.com",2024.11.20 11:11,https://www.hankyung.com/article/2024112030116
6,Korea,"[마켓PRO] 주식 고수들, 빅파마 머크와 협력하는 알테오젠 쓸어담는다",https://img.hankyung.com/photo/202411/01.37093801.1.png,한국경제,"※한경 마켓PRO 텔레그램을 구독하시면 프리미엄 투자 콘텐츠를 보다 편리하게 볼 수 있습니다. 텔레그램에서 ‘마켓PRO’를 검색하면 가입할 수 있습니다. 박순재 알테오젠 대표. 한경DB 투자수익률 상위 1％의 고수들이 알테오젠을 쓸어 담고 있다. 글로벌 제약사 머크가 알테오젠의 기술을 활용해 면역항암제 '키트루다'를 피하주사(SC) 제형으로 만들었다는 소식에 투자자가 몰리고 있는 것으로 보인다. 20일 미래에셋엠클럽에 따르면 미래에셋증권 계좌로 주식을 거래하는 수익률 상위 1％ 고수들은 이날 개장부터 오전 10시까지 국내 증시에서 알테오젠을 가장 많이 순매수했다. 이 종목은 올초부터 지난 11일까지 352.28% 올랐으나, 밸류에이션(실적 대비 주가 수준) 부담 등이 부각되면서 이후부터 지난 19일까지 15.60% 하락했다. 그러나 이 시각 현재 2% 이상 오르면서 상승 전환 기미를 보이고 있다.이 종목 주가가 오르는 건 글로벌 제약사 머크가 블록버스터 면역항암제 키트루다를 피하주사(SC) 제형으로 만드는 데 알테오젠의 기술을 활용했다고 밝힌 덕분이다. 머크는 ""최근 종료된 키트루다SC 3상에서 양호한 데이터를 얻었다""는 내용의 글을 최근 홈페이지에 게시했다. 엄민용 신한투자증권 연구원은 ""3상 결과 1차 지표였던 약동학(pk) 및 2차 지표였던 효능과 안정성이 모두 필요치를 충족했다""고 했다. 이 시각 고수들이 가장 많이 순매도하고 있는 종목은 SK하이닉스다. 이 종목은 연초부터 지난 7월 11일까지 70.32% 급등했으나, 이후 하락 전환해 이달 19일까지 29.21% 떨어졌다. 이 시각에는 전일 대비 약 2% 상승 거래 중이다. 주가가 단기 반등하자 고수들이 서둘러 이 종목에서 손을 털고 있는 것으로 보인다.양병훈 기자 hun@hankyung.com",2024.11.20 11:19,https://www.hankyung.com/article/202411202997i
7,Korea,"구영배 ""기회달라"" 했지만…티메프 입찰 아무도 참여 안 했다",https://img.hankyung.com/photo/202411/01.37682348.1.jpg,한국경제,"서울 강남구 위메프 본사./사진=뉴스1 대규모 미정산 사태로 기업회생절차(법정관리)를 밟고 있는 티몬·위메프(티메프)가 새 주인 찾기에 난항을 겪고 있다. 우선매수권자 선정을 위한 예비입찰에 인수의향서(LOI)를 제출한 기업이 단 한 곳도 없는 것으로 확인됐다. 티메프 우발채무에 대한 매수자들의 우려가 커 매각에 상당한 시간이 소요될 것이란 전망이 나온다.20일 투자은행(IB) 업계에 따르면 매각 주관사인 EY한영회계법인이 지난 18일까지 티메프 인수희망자를 대상으로 인수의향서(LOI)를 접수받은 결과 이를 제출한 기업은 단 한 곳도 없는 것으로 나타났다. 입찰 과정에서 인수에 관심을 보인 기업도 있었지만, 결과적으로 모두 LOI를 제출하지 않았다.앞서 서울회생법원은 지난달 11일 조인철 티메프 법정관리인이 티메프의 회생계획 인가 전 인수합병(M&A)을 추진하기 위해 EY한영을 매각 주관사로 선정해달라는 용역 계약 체결을 허가했다. 이에 매각 주관사는 '스토킹 호스'(Stalking Horse) 방식으로 티메프 매각 절차를 진행하고 있다. 스토킹호스 방식은 일단 우선협상대상자를 선정한 상태에서 공개경쟁 입찰을 병행, 더 좋은 조건을 제시하는 원매자가 나타나지 않으면 인수자를 확정하는 방식이다.IB업계 관계자는 ""티메프 매각에 관심을 보인 업체도 있었는데, 인수 가격이 너무 높다고 판단해 결국 LOI를 제출하지 않았다""며 ""신용에 기반한 사업을 하고 있는 티메프가 이를 잃었고, 우발채무 우려와 시장에 미치는 파장 등이 크기 때문에 함부로 고액을 들여 인수에 나서려고 하지 않고 있다""고 말했다. 사진=뉴스1 우선매수권자가 나타나지 않은 만큼, 공개입찰이 진행될 가능성이 커졌다. 공개입찰에서도 인수자를 찾지 못하면 파산 절차가 진행되는데 '파산기업' 낙인이 찍히면 향후 매수자를 구하기가 더 어려워질 것이란 예상이 나온다.앞서 티메프는 지난 9월 법원에 1조3000억원 규모의 채권을 보유한 5만5000여 명의 채권자 목록을 제출했다. 채권자 수는 티몬이 2만438명(9638억원), 위메프가 3만4000여 명(3793억원)이다. 이처럼 티메프 사태가 사회에 미치는 파장이 큰 만큼, 법원의 재량으로 우선매수권자 선정 기간을 연장할 가능성도 제기된다.IB업계 관계자는 ""일반적이진 않지만 법원의 판단에 따라 우선매수권자를 확보할 수 있도록 입찰 기간을 더 줄 수도 있다""며 ""현재 티메프 사태가 사회에 미치는 영향이 큰 만큼, 법원도 눈치를 볼 수밖에 없을 것""이라고 말했다.앞서 지난 18일 구영배 큐텐그룹 대표와 티몬·위메프 경영진은 두 번째 구속 전 피의자 심문(영장실질심사)을 받기 위해 법원에 출석한 자리에서 ""피해 회복을 위해 노력하겠다""며 ""불구속 기회를 달라""고 호소했다. 서울중앙지법 남천규 영장전담 부장판사는 이날 특정경제범죄 가중처벌법상 사기·횡령·배임 등 혐의를 받는 구 대표와 류광진 티몬 대표, 류화현 위메프 대표에 대해 구속 전 피의자 심문(영장실질심사)을 한 뒤 구속영장을 모두 기각했다.고정삼 한경닷컴 기자 jsk@hankyung.com",2024.11.20 11:20,https://www.hankyung.com/article/2024112028866
8,Korea,"""투자는 UFC 경기""…고수가 강조하는 최소한의 '호신술'은? [이시은의 투자고수를 찾아서]",https://img.hankyung.com/photo/202411/01.37535378.1.png,한국경제,"※한경 마켓PRO 텔레그램을 구독하시면 프리미엄 투자 콘텐츠를 보다 편리하게 볼 수 있습니다. 텔레그램에서 ‘마켓PRO’를 검색하면 가입할 수 있습니다. 오종태 오투파트너스 대표. /사진=이시은 기자 “밸류에이션(실적 대비 주가)도 중요하지만, 주가의 절대적인 내림 폭도 간과하면 안 됩니다.” 오종태 오투파트너스 대표는 20일 한국경제신문과의 인터뷰에서 “엔터주가 길었던 저평가의 터널을 지나고 있다”며 이같이 설명했다. 1998년 신영증권에 입사해 크레디트스위스, 한국투자증권을 거친 그는 타이거자산운용의 투자전략이사 자리를 끝으로 지난달 독립했다. 26년간 채권·금융상품·주식 영업과 운용을 폭넓게 담당했던 점은 그의 무기다. 개인 투자자들에겐 유튜브 등지에서 자신만의 관점인 '복잡계 투자 이론'을 설파하는 인물로 잘 알려져 있다. '네 쌍둥이' 엔터 4사, 도약기 맞았다오 대표가 짚은 엔터주는 올해 국내 증시에서 대표적 침체 업종으로 꼽혀왔다. 4대 대형주(와이지엔터테인먼트·JYP엔터테인먼트·하이브·에스엠)의 연초부터 지난 9월까지 주가 하락률은 –21.66%에서 –50.3%에 이른다. 그는 “50% 이상 하락은 비즈니스 모델에 대한 의심과 기업 개별 문제가 겹쳐야만 발생할 수 있는 드문 수치”라며 “하지만 주가가 내려가고도 음원 스트리밍 데이터 선전, ‘아파트(APT.)’의 빌보드 차트 진입처럼 K팝 아티스트의 문화 영향력이 이어지는 모습이 나타났다”고 말했다. 마침 JYP엔터가 3분기 ‘어닝 서프라이즈’를 터트리며 분위기 반전이 시작됐다는 평가다. 내년 예정된 방탄소년단(BTS), 블랙핑크의 컴백 등 인기 아티스트 활동은 업황 전반에 온기를 불어넣는다는 관측이다. 나머지 3사도 3분기 실적은 어두웠지만, 내년도 영업이익이 최대 64%까지 증가할 것이란 전망이 나온다. 오 대표는 “엔터 4사는 제조업으로 치면 제품 생산 방식이 같은 ‘네 쌍둥이’”라며 “이 같은 공정이 아직 유효하다는 것이 증명됐으므로, 지금까지 그랬듯 내년에도 주가 연관성이 짙을 것”이라고 말했다.우주 항공 관련주도 주목하는 업종이다. 도널드 트럼프 미국 대통령 당선인 승리의 일등 공신인 일론 머스크 테슬라 최고경영자(CEO) 때문이다. 그가 이끄는 발사체 업체 스페이스X의 대형 우주선 ‘스타십’이 이날 여섯 번째 지구궤도 시험비행을 가졌는데, 현장에 트럼프 당선인이 방문할 정도로 신임을 받고 있다. 오 대표는 “집권 초기까지는 기대감에 투자하는 영역으로, ‘옥석 가리기’ 같은 장세 없이 업종 전반의 상승세가 예상된다”고 했다. 종목을 고루 담는 상장지수펀드(ETF)를 활용할 때라는 조언이다. GE에어로스페이스, RTX 등을 담은 미 대형 ETF인 ‘아이셰어즈 US 에어로스페이스&디펜스’(ITA), 국내선 한화에어로스페이스 등을 담은 ‘TIGER 우주방산’ 등이 과실을 고루 누릴 것이란 관측이다. ""업종 체력·ETF 자금 흐름이라도 확인해야"" 오종태 오투파트너스 대표. 오 대표는 ‘복잡계 투자 이론’을 내세우며 여러 유튜브 채널에서 이름을 얻은 인물이기도 하다. 그만의 투자 관점인 해당 이론은 쉽게 말해 최대한 많은 변수와 요소를 따져 투자하자는 것이다. 그는 이를 “모든 무술을 다 잘하면 유리한 UFC 경기와 같다”고도 비유했다. 일견 당연한 말이지만, 실천에 옮기긴 쉽지 않다. 오 대표는 “펀더멘털·유동성·투자심리 3가지라도 따져야 한다”며 “최소한의 업종 대한 기초지식과 실적, 관심 종목이 속한 ETF의 자금 흐름 동향 정도는 확인해가며 경험치를 쌓을 필요가 있다”고 강조했다.사람들 관심사가 빠르게 바뀌는 ‘플래시 트렌드’ 현상이 심화하고 있는 점도 유의하라고 짚었다. 이젠 우량주라 하더라도 주가가 3~5%씩 빠지는 경우가 점차 잦아질 수 있다는 지적이다. 오 대표는 “데이터 과학의 발달로 기업들의 제품 반향이나 소비자들의 움직임이 실시간으로 취합되고, 이런 내용이 주가에 반영되는 기간이 점차 짧아지고 있다”고 했다. 같은 관점에서 미국 증시 투자도 긴장을 놓지 말라고 했다. 그는 “미국 증시에 베팅한 투자자들은 ‘내가 맞았다’라는 기분이겠지만, 투자는 즐거울 때를 조심해야 한다”며 “전망을 잘 판단하기 어렵다면 조금씩 이익을 실현해놓는 것도 방법”이라고 말했다.이시은 기자 see@hankyung.com",2024.11.20 11:30,https://www.hankyung.com/article/202411202400i
9,Korea,"외국인, 금융주 '매집'…KB·신한지주 '급등'",https://img.hankyung.com/photo/202411/B20241120115018070.jpg,한국경제,"외국인 투자자들이 금융주를 쓸어담고 있다.연말 배당 수요와 기업 밸류업 펀드 자금의 투입 등을 기대한 움직임으로 분석된다.20일 오전 11시53분 현재 KB금융은 전거래일대비 4,400원(4.80%) 오른 9만6,000원에 거래되고 있다.매수 상위 창구에 씨티그룹, 모건스탠리 등 외국계 증권사가 올라와 있다.신한지주 역시도 3.17%(1,700원) 상승한 5만5,400원을 기록중이다.이 외에도 BNK금융지주(2.37%), JB금융지주(5.43%), 하나금융지주(2.17%) 등이 오름세다.정경준기자 jkj@wowtv.co.kr",2024.11.20 11:52,https://www.hankyung.com/article/2024112031945
