,country,title,image_link,source,content,published_at,link
0,Korea,"DB금융투자, DB자산운용 완전자회사로 편입",https://img.hankyung.com/photo/202411/01.32946205.1.jpg,한국경제,"사진=DB금융투자 DB금융투자는 DB자산운용을 100% 완전자회사로 편입한다고 21일 밝혔다.DB금융투자는 DB자산운용에 대한 기존 보유 지분 55.33%에 더해 나머지 지분을 모두 취득해 100% 완전자회사로 편입할 계획이다. 지분 취득 규모는 375억원으로, DB금융투자 연결자기자본의 3.2% 수준이다.앞서 DB금융투자는 지난 9월 DB손해보험과 은행주주사 주식매각협의회 간 체결한 DB자산운용 지분 44.67%(268만주)에 대한 매매 거래의 대체양수인으로 참여한다고 공시했다.DB금융투자 관계자는 ""이번 지분 취득을 통해 DB그룹 금융 계열사들의 지배구조를 강화하는 한편, 고객들에게 다양한 금융 상품을 제공하는 등 시너지 효과를 제고할 수 있을 것""이라고 말했다.고정삼 한경닷컴 기자 jsk@hankyung.com",2024.11.21 17:04,https://www.hankyung.com/article/2024112166376
1,Korea,"코스피, 0.07%↓ 마감…""지긋지긋하다""",https://img.hankyung.com/photo/202411/B20241121152957140.jpg,한국경제,"코스피가 약보합 마감했다.재료 부재에 수급공백, 여기에 더해 업종별 순환매가 지속되면서 지수 자체가 지지부진한 모습을 보이고 있다.21일 코스피지수는 전거래일대비 1.66포인트(0.07%) 내린 2,480.63에 거래를 마쳤다.연기금을 중심으로 한 기관 매수세가 지수 낙폭을 방어했다. 기관은 2,900억원 매수 우위.이에 반해 개인과 외국인은 각각 1,200억원, 2,500억원 매도 우위.그나마 연기금이 최근 들어 매수폭을 확대하고 있다는 점은 위안거리. 연기금은 이번주 들어 8,000억원 가량을 순매수하고 있다.시가총액 상위종목별로는 삼성전자(1.99%), KB금융(1.78%), 셀트리온(1.34%), POSCO홀딩스(3.05%)가 각각 상승 마감했다.반면, SK하이닉스(-1.06%), 현대차(-1.37%), NAVER(-1.76%) 등은 약세 마감했다.올랐던 업종·종목은 매도하고 빠졌던 업종·종목은 저가매수에 나서는 전형적인 순환매 양상을 보였는데, 주도주 부재 등에 따른 국내 증시의 취약점을 여실히 드러냈다. 코스닥지수는 전거래일대비 2.24포인트(0.33%) 하락한 680.67로 장을 마쳤다.정경준기자 jkj@wowtv.co.kr",2024.11.21 15:35,https://www.hankyung.com/article/2024112163085
2,Korea,코스피200에 효성중공업·OCI 등 편입…영풍 등 5종목 편출,https://img.hankyung.com/photo/202411/01.38417338.1.jpg,한국경제,"사진=한경 DB 코스피200 지수 구성 종목에서 효성중공업·OCI 등 4개가 빠지고, 영풍·롯데관광개발 등 5개는 새로 들어간다.한국거래소는 21일 주가지수운영위원회를 열고 주요 대표지수 구성 종목에 대한 정기변경을 심의, 이같이 결정했다고 밝혔다. 지수 편·출입은 다음달 13일부터 반영된다. 코스피200 신규 편입 종목은 △효성중공업 △에이피알 △미원상사 △OCI 등 4개다. 편출 종목은 △효성 △롯데관광개발 △명신산업 △영풍 △KG스틸 등 5개다. 정기변경 후 유가증권시장 전체 시가총액 대비 코스피200 구성 종목의 비중은 92.3%가 된다.코스닥150 신규 편입 종목은 △신성델타테크 △아이패밀리에스씨 △코스메카코리아 △와이씨 △덕산테코피아 △카페24 △선익시스템 △네오셈 등 8개다. 편출 종목은 △강원에너지 △하나기술 △탑머티리얼 △바텍 △신라젠 △박셀바이오 △한국정보통신 △KH바텍 등 8개다.이에 따라 코스닥150지수 구성 종목의 코스닥시장 전체 시총 비중은 56.2%가 된다.KRX300에는 △SK가스 △한일시멘트 △신성델타테크 △LS머트리얼즈 △한화엔진 △일진전기 △제룡전기 △LS에코에너지 △경동나비엔 △실리콘투 △한샘 △에이피알 △브이티 △씨앤씨인터내셔널 △보로노이 △펩트론 △동양생명 △롯데손해보험 △티씨케이 △와이씨 △덕산테코피아 △덕산네오룩스 △피에스케이 △케이씨텍 △시노펙스 △SK이터넉스 등 26개다.반면 △SK디스커버리 △동화기업 △천보 △KG스틸 △제주항공 △제이오 △윤성에프앤씨 △HS효성 △영원무역홀딩스 △명신산업 △성우하이텍 △메가스터디교육 △오리온홀딩스 △하림지주 △JW중외제약 △원텍 △와이지엔터테인먼트 △디어유 △에스앤에스텍 △가온칩스 △해성디에스 △엠로 △두산테스나 △드림텍 △넥스틴 △기가비스 △인텔리안테크 등 27개다.정기변경 후 유가증권과 코스닥시장 시총 대비 KRX300 구성 종목의 비중은 약 84.7%가 된다.고정삼 한경닷컴 기자 jsk@hankyung.com",2024.11.21 17:09,https://www.hankyung.com/article/2024112164936
3,Korea,지정학적 긴장 고조…환율 또 1400원 '터치' [한경 외환시장 워치],https://img.hankyung.com/photo/202411/01.38711046.1.jpg,한국경제,"사진=연합뉴스 러시아와 우크라이나 간 지정학적 긴장이 고조되면서 원·달러 환율이 장중 1400원대로 상승(원화 가치는 하락)했다. 미국 중앙은행(Fed)이 다음달 기준금리를 동결할 것이란 전망도 환율 오름세에 영향을 줬다.21일 서울 외환시장에서 원·달러 환율(오후 3시30분 기준)은 전날 대비 6원60전 오른 1397원50전에 주간 거래를 마쳤다. 이틀간 1390원90전에서 숨고르기한 환율이 다시 상승세로 전환했다.이날 환율은 1399원에서 출발해 오전에 1400원10전까지 올랐다. 하지만 수출업체의 네고 유입 물량과 외환당국 미세 조정에 관한 경계감 등이 상승세를 제한하면서 1390원대에서 마감했다. 환율은 지난 15일부터 주간 거래 종가 기준으로 1390원대에 머물고 있다.환율 상승세가 나타난 것은 지정학적 긴장이 고조되면서 안전자산인 달러 선호가 확대된 영향이다. 전날 러시아의 핵 사용 교리(독트린) 개정, 러시아 본토에 대한 우크라이나의 미국·영국산 미사일 발사 등에 따라 달러는 강세를 나타냈다. 주요 6개국 통화 대비 달러 가치를 나타내는 달러인덱스는 전날보다 0.24% 오른 106.541을 나타냈다.Fed 인사들의 매파(통화 긴축 선호)적 발언 영향으로 12월 금리 동결 전망이 나온 점 등도 상승 압력으로 작용한 것으로 보인다. 미셸 보우먼 Fed 이사는 전날 ""현재 미국의 노동 시장은 강한 반면 물가는 여전히 우려되는 상황""이라며 ""기준금리 추가 인하에 신중할 필요가 있다""고 말했다. 오후 3시 30분 기준 원·엔 재정환율은 100엔당 902원63전이었다. 전날 오후 3시 30분 기준가인 895원25전보다 7원38전 올랐다. 엔·달러 환율은 전 거래일보다 0.34% 내린 154.835엔이었다.강진규 기자 josep@hankyung.com",2024.11.21 16:02,https://www.hankyung.com/article/202411216384i
4,Korea,"비트코인 10만달러 눈앞…""백악관 전담팀 신설""",https://img.hankyung.com/photo/202411/w1732177454655.jpg,한국경제,"<앵커>비트코인 가격이 트럼프 효과에 힘입어 사상 최고치 행진을 이어가고 있습니다.도널드 트럼프 미국 대통령 당선인이 가상자산 정책을 담당하는 직책 신설을 논의 중인 것으로 알려지자, 매수세가 쏠리고 있습니다.박찬휘 기자입니다.<기자>비트코인 1개당 가격이 전날 사상 처음으로 9만4천 달러를 돌파한데 이어 오늘 오후 2시 30분 경엔 9만7천 달러까지 넘어섰습니다.우리 돈 1억3,680만 원 수준입니다.도널드 트럼프 미국 대통령 당선인이 본격적으로 친가상자산 정책을 펼치면서, 트럼프 수혜주에 투자하는 '트럼프 트레이드' 현상이 과열된데 따른 겁니다.블룸버그통신은 트럼프 당선인이 백악관에 가상자산 정책을 전담하는 직책을 만들려고 하고 있고, 후보자 선정도 마쳤다고 전했습니다.해당 직책은 의회와 정부, SEC(증권거래위원회) 등 관계 부처 사이의 소통을 담당할 예정입니다.[송인규 / 고려대 기술경영전문대학원 겸임교수 : 트럼프가 비트코인 등 이쪽에 있는 굉장히 큰 기회를 전략적으로 잘 활용하기 위해서는 자기가 일일이 대응하는 것보다는 보좌관 같은 자리를 하나 만들어서 이 사람을 통해가지고 SEC도 통제를 하고, 의회 대응도 하고 하는 것이 가장 효율적이라고 생각하는 거겠죠.]앞서 트럼프 당선인은 ""미국 정부가 보유한 21만 개의 비트코인과 향후 획득할 비트코인을 전량 보유하는 것이 트럼프 2기의 핵심 정책""이라고 밝히며 친가상자산 행정부의 출범을 알린 바 있습니다.트럼프 행정부가 친가상자산 정책에 드라이브를 거는 가운데, 가상자산업계도 적극적으로 동참하고 나섰습니다.브라이언 암스트롱 코인베이스 CEO는 전날 트럼프 당선인과 전화통화를 했고, 브라이언 브룩스 전 바이낸스 미국법인 CEO는 오늘 플로리다 마러라고 별장을 방문해 비공개 회담을 가졌습니다.비트코인 현물 ETF(상장지수펀드)에 이어 옵션거래까지 시작되면서 합법적 금융상품으로 자리 잡고 있다는 인식도 상승세에 힘을 보태고 있습니다.CNBC 등 외신들은 ""현재 많은 투자자가 암호화폐 자산을 금과 같은 장기 헤지수단으로 인식하고 있다""고 분석했습니다.비트코인 가격이 급등하는 가운데 우리나라에선 가상 자산 과세를 놓고 논란이 뜨겁습니다.더불어민주당이 공제 한도를 5천만 원으로 높여 내년부터 과세하겠다고 하자, 과세를 유예해달라는 국민청원이 등록 3일 만에 동의 수 5만 명을 돌파하는 등 반발이 커지고 있습니다.한국경제TV 박찬휘입니다.영상촬영 : 양진성, 영상편집 : 노수경, CG : 김민송박찬휘기자 pch8477@wowtv.co.kr",2024.11.21 17:46,https://www.hankyung.com/article/2024112169095
5,Korea,"고려아연 ""MBK, 공개매수 중지 가처분 심문기일에 주식매수…부정거래""",https://img.hankyung.com/photo/202411/ZN.38633588.1.jpg,한국경제,"사진=뉴스1 고려아연은 경영권 분쟁을 일으킨 MBK파트너스·영풍 연합 측의 자본시장법 위반 여부 등을 조사해 달라는 진정서를 금융감독원에 추가로 제출했다고 21일 밝혔다.MBK·영풍 연합 측이 법원에 고려아연의 자사주 공개매수 절차를 멈춰 달라며 가처분 신청을 2차로 내고, 이에 대한 법원의 심문 기일인 10월18일에 고려아연 주식 2만주를 장내매수한 것이 '사기적 부정거래'에 해당한다고 고려아연은 주장했다.자사주 공개매수가 중지될 수 있다는 신호를 시장에 전달해 주가 상승을 막은 뒤 상대적으로 낮은 가격에 주식을 매수했다는 주장이다. 10월18일에 고려아연 주가는 종가 기준으로 6.43% 올랐다. 다만 장중에는 7.65% 하락한 수준에서 저가가 형성됐다.고려아연은 MBK·영풍 연합이 가처분신청을 낸 뒤 이게 인용돼 자사주 공개매수가 중단될 수 있다는 의견을 언론에 전달한 것도 문제 삼았다. 단순한 의견 표명이 아니라 투자자들에게 특정한 기대를 형성하게 했다는 주장이다.앞서 고려아연은 MBK·영풍 연합이 진행한 공개매수 마지막 날인 10월14일에 주가가 계속 오르면서 자칫 MBK-영풍 측의 공개매수가 무산될 우려가 커지는 시점에 대량 매도가 쏟아진 데 대해 시세조종 여부를 조사해 달라는 진정서를 금융당국에 제출한 바 있다. 일부 세력이 고려아연 주가를 인위적으로 떨어뜨려 MBK·영풍의 공개매수가 무산되지 않도록 하고, 투자자들이 MBK 공개매수에 참여하도록 시장 환경을 조성한 것이 아니냐는 의혹을 제기한 것이다.한경우 한경닷컴 기자 case@hankyung.com",2024.11.21 16:26,https://www.hankyung.com/article/2024112164586
6,Korea,"코스피, 출렁이다 약보합 '2480선'…삼성전자 1.99% 상승",https://img.hankyung.com/photo/202411/01.38715422.1.jpg,한국경제,"사진=연합뉴스 코스피지수가 약보합 마감했다. 장중 강세를 보이다가 막판 약세로 방향을 틀었다.21일 한국거래소에 따르면 코스피지수는 전날 대비 1.66포인트(0.07%) 내린 2480.63에 장을 마쳤다.개인과 외국인이 각각 1258억원, 2595억원 매도 우위다. 기관 홀로 2973억원 매수 우위다.대장주인 삼성전자는 1.99% 상승한 5만6400원에 마감했다. 간밤 미 증시에서 인공지능(AI) 반도체 대장주인 엔비디아가 올 3분기 실적 발표 후인 시간외거래에서 약세를 기록한 데 비해선 선방한 것이다. 다만 SK하이닉스는 1.06% 밀려 17만원 밑에서 장을 마쳤다.셀트리온은 1.34% 상승했다. 1000억원 규모 자사주 추가 취득 계획을 밝히면서다. 셀트리온은 이날 자사주 58만3431주를 오는 22일부터 3개월간 장내에서 사들인다고 밝혔다.코스닥지수는 전장보다 2.24포인트(0.33%) 하락한 680.67에 거래를 끝냈다.외국인이 774억원 매도 우위다. 개인과 기관이 각각 644억원, 30억원 매수 우위다.대장주인 알테오젠은 1.14% 하락했다. 장 초반 20% 넘게 급락하기도 했지만 이내 낙폭을 줄였다. 상환전환우선주(RCPS) 발행 추진설의 영향을 받은 것으로 풀이된다. 이날 오후 회사는 공시를 통해 ""(2000억원 RCPS 발행 등 관련 내용을) 추진 중이지만 현재까지 구체적으로 결정된 바는 없다""고 밝혔다. 고공행진하는 비트코인 가격에 국내 관련주는 활짝 웃었다. 컴투스홀딩스는 15.84% 상승했다. 컴투스홀딩스는 자회사 컴투스플러스와 함께 국내 3대 거래소 중 하나인 코인원의 지분 38.4%를 보유한 2대주주다. 국내 비트코인 거래소인 빗썸의 운영사 빗썸코리아 지분을 갖고 있는 티사이언티픽도 5.96% 올랐다.이날 서울 외환시장에서 원·달러 환율은 6.6원 오른 1397.5원을 기록했다.신민경 한경닷컴 기자 radio@hankyung.com",2024.11.21 15:51,https://www.hankyung.com/article/2024112162556
7,Korea,"[마켓PRO] '더 오를 여지 있나' 투자고수들, 엔비디아 집중 매집",https://img.hankyung.com/photo/202411/01.37030797.1.jpg,한국경제,"※한경 마켓PRO 텔레그램을 구독하시면 프리미엄 투자 콘텐츠를 보다 편리하게 볼 수 있습니다.고수들의 포트폴리오수익률 상위 1%인 해외주식 고수들이 엔비디아와 엔비디아 관련 상장지수펀드(ETF)를 집중매집한 것으로 나타났다. 가상자산 관련 종목도 많은 관심을 받았다. 미래에셋엠클럽에 따르면 미래에셋증권 계좌로 주식을 매매한 수익률 상위 1% 고수들이 지난 20일(미국 현지시간) 가장 많이 순매수한 해외 종목은 엔비디아였다. 엔비디아 수익률의 2배를 추종하는 그래닛셰어즈 2배 롱 엔비디아 데일리 상장지수펀드(NVDL)는 순매수 3위였다. 이날 엔비디아는 미국 뉴욕증시 장 마감 후 3분기 실적을 발표했다. 매출은 전년 동기 대비 94% 증가한 350억8200만달러를 기록했고, 순이익은 109% 늘어난 193억900만달러를 기록했다. 4분기 차세대 인공지능 반도체 블랙웰 출하 전망도 유지했다. 다만 주가는 장 중 0.76%, 시간 외 거래에서 1.16%씩 하락했다.순매수 2위는 디렉시온 데일리 세미컨덕터 불 3X ETF’(SOXL)이었다. 미국 필라델피아 반도체지수(PHLX)가 상승하면 3배 수익을 얻는 상품이다. 미국 최대 소형모듈원전 설계업체(SMR) 뉴스케일파워가 순매수 4위, 테슬라의 하루 수익률을 1.5배 추종하는 디렉시온 데일리 테슬라 불 1.5배 셰어즈(TSLL)는 순매수 5위였다. 이날 투자 고수들은 양자컴퓨터 기술 기업인 아이온큐를 가장 많이 매도했다. 방산 AI 소프트웨어 기업 팔란티어테크는 순매도 2위, 애플은 순매도 3위였다. 트럼프 당선인의 미디어기업 트럼프 미디어 앤드 테크놀로지 그룹은 순매도 4위였다. 가상자산 관련 종목에도 움직임이 몰렸다. 개별주엔 매수세가 우세했다. 세계 최대 가상자산 거래소인 코인베이스 글로벌은 순매수 13위였다. 마이크로스트래티지는 순매수 14위로 뒤를 이었다. 이 기업은 비트코인 투자사로 이름나 미국 증시에서 '코인 대장주' 중 하나로 통한다. 이날 주가는 전일대비 10.05% 올랐다. 반면 비트코인 선물지수의 하루 수익률을 두 배로 따르는 비트코인 스트래티지 ETF(BITX)는 순매도 6위였다. 코인베이스글로벌의 주가 수익률을 추종하면서 코인베이스의 콜옵션을 매도해 배당금을 지급하는 일드맥스 코인 옵션 인컴 스트래티지 ETF(CONY)는 순매도 9위였다. 선한결 기자 always@hankyung.com",2024.11.21 17:38,https://www.hankyung.com/article/202411216767i
8,Korea,화학업계 차입금 32.6조원…3년새 13조원 불어,,한국경제,"▶마켓인사이트 11월 21일 오후 3시 39분 국내 주요 화학업체들의 차입금이 32조원을 넘었다. 눈덩이 적자를 내면서 3년 사이 13조원 가까이 불어났다. 신용등급이 줄강등될 것이라는 우려가 커진 만큼 구조조정에 속도를 낼 것이란 예상이 많다.21일 금융감독원에 따르면 LG화학(개별 기준) 롯데케미칼 한화토탈에너지스 여천NCC SK지오센트릭 HD현대케미칼 대한유화 등 주요 화학업체 7개사의 차입금은 지난 9월 말 32조6152억원으로 작년 말에 비해 6.28%(1조9278억원) 불었다. 2021년 말(19조7287억원)과 비교하면 65.3%(12조8865억원) 늘었다. 7개사의 평균 부채비율은 2021년 말 91.1%에서 올해 9월 말 143.4%로 치솟았다.플라스틱과 고무, 비닐 등의 기초원료인 에틸렌을 생산하는 주요 화학업체는 적자 늪에 빠졌다. 9월 말 기준 7개사의 합산 영업손실은 7717억원에 이른다. 중국의 저가 화학제품이 쏟아지면서 지난해부터 적자로 돌아섰다. 롯데케미칼 실적 악화폭이 두드러진다. 이 회사는 올 3분기 누적으로 6600억원의 영업손실을 기록했다. 9월 말 차입금은 10조9570억원에 달했다. 7개 화학업체 가운데 가장 손실이 크고, 차입금이 많다.화학업체들의 신용등급 강등 우려도 확산하고 있다. 한국기업평가는 롯데케미칼(신용등급 AA)과 여천NCC(A) SK지오센트릭(AA-) 등의 신용등급 전망을 ‘부정적’으로 평가했다. 신용등급 전망 ‘부정적’은 앞으로 6개월 안에 신용등급이 강등될 수 있다는 의미다. 여천NCC가 지난달 시행한 1000억원 규모 회사채 수요예측에선 40억원어치 주문만 들어왔다.김익환/장현주 기자 lovepen@hankyung.com",2024.11.21 18:10,https://www.hankyung.com/article/2024112168711
9,Korea,"""LG전자, 중장기 미래 전략에 조점 맞춘 조직개편""-KB",https://img.hankyung.com/photo/202411/AD.37975380.1.jpg,한국경제,"LG트윈타워. 사진=LG 제공 KB증권은 22일 LG전자가 전날 단행한 임원 인사 및 조직 개편에 대해 “중장기 미래 전략에 초점을 맞추는 한편, 영업통 중심으로 승진인사가 이뤄졌다”고 평가했다.LG전자는 전날 김영락 한국영업본부장을 사장으로 승진시키는 등 42명의 임원을 승진시켰다. 김 사장은 한국 시장에서 가전구독 사업모델 확대 및 온라인 숍 기반의 소비자 직접판매 사업 성과로 공로를 인정받았다고 김동원 KB증권 연구원은 설명했다.사업본부는 HS(가전), MS(미디어 엔터테인먼트 솔루션), VS(전장), ES(에코 솔루션) 등으로 재편됐다.김 연구원은 “HS 사업본부는 LG ThinQ의 플랫폼 사업 센터와 AI 홈 솔루션 사업을 주도한다”며 “로봇 사업을 이관받아 로봇 청소기와 이동형 AI 홈 허브 등에 초점을 둘 것”이라고 말했다.MS사업본부는 기존 HE(TV) 사업부를 중심으로 IT(PC)와 ID(사이니지) 사업까지 더해 구성됐다. TV세트사업과 통합 운영하면서 하드웨어 및 플랫폼 사업에 중점을 줄 것이라고 KB증권은 전했다.ES 사업본부는 냉·난방 공조(HAVC)만 따로 독립시킨 것이다. 최근 AI 데이터센터의 냉각 솔루션 수주 기대감이 커지면서 LG전자 주가가 들썩인 바 있다. 여기에 전기차 충전사업도 더해졌다.KB증권은 LG전자의 영업이익 추정치로 4조1000억원을 제시했다. 김 연구원은 가전 사업에 주목하고 있다. 그는 “LG전자 전체 영업이익에서 61%를 차지하는 가전사업은 소비자 가전 제품 수요 둔화와 물류비 변동성 확대에도 경쟁력이 지속되고 있다”며 “웹OS 및 구독 가전 등 플랫폼 신규사업 확대를 통한 사업구조 변화, B2B 매출 비중 확대 등으로 과거 대비 이익 변동성이 완화되고 있다”고 말했다.한경우 한경닷컴 기자 case@hankyung.com",2024.11.22 07:47,https://www.hankyung.com/article/2024112274106
